cellid,beta,p,aligned_to,start,end,R_squared
18913,0.435967498020243,0.663927938583919,1,0,0.5,0.00210741231559952
18913,1.87937541600706,0.0635027691413593,1,0.5,1,0.239942737973737
18913,1.3576507568491,0.178045858226724,3,-0.5,0,0.0200691533498859
18915,-1.4596827875047,0.147937985366442,1,0,0.5,0.0231266499128681
18915,1.07397042927539,0.285772003079833,1,0.5,1,0.0126535304772447
18915,1.19799718093916,0.23413478654057,3,-0.5,0,0.0156963323618596
18917,-1.48889989102679,0.140088867869693,1,0,0.5,0.0240392459437916
18917,-3.23771350150104,0.00169981885806515,1,0.5,1,0.104324221606172
18917,-0.694747732343654,0.489043708692675,3,-0.5,0,0.142799728596661
18919,-0.872008986110469,0.385576447216482,1,0,0.5,0.00837809964044478
18919,-0.917239427959383,0.361524199006571,1,0.5,1,0.181263218839628
18919,-0.64478198040046,0.520745849003462,3,-0.5,0,0.170693594563521
18921,0.361703692816922,0.718440518423162,1,0,0.5,0.00145155172801636
18921,-0.0459145059690151,0.963482426732486,1,0.5,1,2.34232497648978e-05
18921,-1.98114327132515,0.0506973932801906,3,-0.5,0,0.0417879333788096
18923,-0.176825114175096,0.86005209570801,1,0,0.5,0.000347291802091587
18923,-0.417109782302066,0.677613911710893,1,0.5,1,0.00192938771684881
18923,-0.0926298490638347,0.926408184785879,3,-0.5,0,9.53274555608452e-05
18925,-1.6758311996134,0.0973209728737424,1,0,0.5,0.0302602986437888
18925,0.157040644901086,0.875572563251498,1,0.5,1,0.000273944535504667
18925,-0.665937910576567,0.507192723033756,3,-0.5,0,0.0982521756083807
18927,-0.650405928589094,0.51722640329397,1,0,0.5,0.00495215262771997
18927,-0.126520382456676,0.899626009083205,1,0.5,1,0.000188286978713426
18927,-0.98089063351795,0.32949724087864,3,-0.5,0,0.0111926757860988
18929,-0.259820397964801,0.795645727793177,1,0,0.5,0.000793565508918737
18929,3.09678774907766,0.00266845399571916,1,0.5,1,0.101385820866727
18929,0.479505616867758,0.63284005511666,3,-0.5,0,0.11357644088558
18931,0.763276102148213,0.447462851438729,1,0,0.5,0.00680734721083365
18931,1.84391849582971,0.0687634017679113,1,0.5,1,0.038461923721379
