cellid,beta,p,aligned_to,start,end,R_squared
18923,0.269299386461891,0.788329725410972,3,-0.5,0,0.000805152979066137
18925,-0.360245049979326,0.719527094234066,1,0,0.5,0.00143988480921531
18925,0.347105067250312,0.729341117851607,1,0.5,1,0.00133689839572204
18925,-3.68019539374105,0.000401110089177294,3,-0.5,0,0.130802936996684
18927,0.726135474462395,0.469798466671274,1,0,0.5,0.00616496598639449
18927,1.0363754503432,0.303037034975972,1,0.5,1,0.0124784853700516
18927,-1.4142135623731,0.161039454027255,3,-0.5,0,0.0229885057471264
18929,0.459577723692925,0.647020860009514,1,0,0.5,0.00247868420059272
18929,3.31260780398233,0.00137061172554014,1,0.5,1,0.114337658561597
18929,3.84019542244074,0.000239371655270436,3,-0.5,0,0.147844907291104
18931,-0.239643522203461,0.811197443004699,1,0,0.5,0.000675179327629394
18931,1.52834750439852,0.130228494629969,1,0.5,1,0.0267455597977688
18931,-1.93939867030079,0.0558500747405638,3,-0.5,0,0.0423750958150387
18933,-2.11635748031706,0.037309813504379,1,0,0.5,0.0500561085507156
18933,-1.86318827564695,0.0659727839488406,1,0.5,1,0.0392383050593285
18933,6.83521865423087,1.27676766659035e-09,3,-0.5,0,0.354692819076384
18935,1.14771453477414,0.254383802503597,1,0,0.5,0.0152605495875126
18935,2.46332562587606,0.0158318933502317,1,0.5,1,0.0666312527877327
18935,-1.4607479416647,0.147859916367978,3,-0.5,0,0.0244886017532708
18937,0.159656214551962,0.873539783719232,1,0,0.5,0.00029979370672284
18937,2.39880328205552,0.018689593681036,1,0.5,1,0.0634048182908599
18937,18.4613862173414,3.98820582731671e-31,3,-0.5,0,0.800386442953467
18939,-0.806946584785929,0.422003599325625,1,0,0.5,0.00760249796361667
18939,-0.447324729151921,0.655805836588916,1,0.5,1,0.00234858192289356
18939,1.99930362993664,0.0488473279876399,3,-0.5,0,0.0449139335929527
18941,0.882232008890518,0.38019928872483,1,0,0.5,0.00907377524613329
18941,3.06863356924039,0.00290449732430772,1,0.5,1,0.0997337413188637
18941,6.39408687370406,8.98571370263711e-09,3,-0.5,0,0.324777050837058
18945,0.43996590015827,0.661105362272904,1,0,0.5,0.00227211975407637
18945,-0.396429267167909,0.692805752961962,1,0.5,1,0.00184548393754336
18945,0.577681908179114,0.565042792530897,3,-0.5,0,0.0039107213557168
18947,-1.77373217962403,0.079775194873115,1,0,0.5,0.0356921624730834
18947,-5.05622929408085,2.51408135108628e-06,1,0.5,1,0.231224614863895
18947,-1.98532804856737,0.0504101736664518,3,-0.5,0,0.0443159407418766
18953,0.543205051010717,0.588444537844092,1,0,0.5,0.00345942293578749
18953,5.25937385929157,1.10643509907601e-06,1,0.5,1,0.245524272852076
18953,2.82342384034698,0.00594661804122835,3,-0.5,0,0.0857435142119215
18955,-0.357104691500101,0.721919787036327,1,0,0.5,0.00149803207068344
18955,-1.19418458938615,0.235807482533107,1,0.5,1,0.0165005387931035
18955,-1.65115331454294,0.102486222192025,3,-0.5,0,0.0310774196820283
18957,0.870140341223458,0.386733304573643,1,0,0.5,0.00882893454964129
18957,5.37226736010973,6.96892585373462e-07,1,0.5,1,0.253477411485157
18957,3.42449735264465,0.000959485625049926,3,-0.5,0,0.121239778327577
18959,0.790455607530102,0.431514472721603,1,0,0.5,0.00729718400556523
18959,0.958912720161571,0.340387729069744,1,0.5,1,0.0107020345705886
18959,-1.06695553164507,0.289085579188607,3,-0.5,0,0.0132158733433133
18961,-0.0190122314610787,0.984876977724129,1,0,0.5,4.25251068236765e-06
18961,0.911115993771745,0.364872837265992,1,0.5,1,0.00967180559249081
18961,-1.83115688124726,0.0706653535411474,3,-0.5,0,0.0379515169876257
18963,1.79661644120882,0.0760345445071722,1,0,0.5,0.0365851751485173
18963,-0.648254224811821,0.518609938425367,1,0.5,1,0.00491960186212381
18963,-7.30613976046065,1.53741587028304e-10,3,-0.5,0,0.385747957315467
18965,0.104174567797219,0.917282135309594,1,0,0.5,0.000127658296287469
18965,-0.146182831820729,0.884131517880504,1,0.5,1,0.000251341756370538
18965,0.468589047822681,0.640591769582759,3,-0.5,0,0.00257658752636036
18967,1.7396295457007,0.085631068159387,1,0,0.5,0.0343796181323341
18967,1.34690129406029,0.181678169292988,1,0.5,1,0.0208968611708394
18967,-0.974078949683884,0.332847720809715,3,-0.5,0,0.0110394731658681
18969,-1.42832639094493,0.156950223248127,1,0,0.5,0.0234388046142852
18969,-1.36539234277547,0.175818985410824,1,0.5,1,0.0214621695011556
18969,-1.11847849180757,0.266589409625292,3,-0.5,0,0.014504112667436
18971,0.843925602203593,0.40113677057923,1,0,0.5,0.00830932277382312
18971,0.139183446726124,0.889642353873003,1,0.5,1,0.000227854327544463
18971,-0.968743444223524,0.335487696831177,3,-0.5,0,0.0109201842640212
18973,-1.91091974046809,0.0594671633561518,1,0,0.5,0.0411906120967768
18973,-6.67827766410216,2.5664240770247e-09,1,0.5,1,0.344132728389102
18973,-7.13005703811103,3.40438354755241e-10,3,-0.5,0,0.374253306439808
18975,0.0422126872837386,0.966430531805269,1,0,0.5,2.09632189780429e-05
18975,0.116424365280397,0.907597467412403,1,0.5,1,0.000159440843163106
18975,-0.836682176392637,0.405173733524176,3,-0.5,0,0.00816845696073565
18977,1.32186969949104,0.189843247107962,1,0,0.5,0.0201428598554718
18977,2.17211859137601,0.0326995318383504,1,0.5,1,0.0525880420827725
18977,3.76534084789211,0.000309557979180037,3,-0.5,0,0.142953290829219
18979,1.09370085488916,0.277250232940587,1,0,0.5,0.0138774309759051
18979,1.13089297412218,0.26135731517262,1,0.5,1,0.0148230753809143
18979,-2.93988790235124,0.00425195918812104,3,-0.5,0,0.0922967689536285
18981,0.0249795462087467,0.980131237679267,1,0,0.5,7.34086056775052e-06
18981,2.07171643175106,0.0413968985762203,1,0.5,1,0.0480671117485655
18981,0.783278247923585,0.435693090975827,3,-0.5,0,0.00716621369118386
18983,2.14642480814195,0.0347583052813028,1,0,0.5,0.0514148703432015
18983,0.702162978755535,0.484542008758895,1,0.5,1,0.00576693599824885
18983,3.41177278372608,0.000999575139256468,3,-0.5,0,0.120448781225057
18985,-2.2801247931122,0.0251648565148337,1,0,0.5,0.0576388968260317
18985,-0.20496093198121,0.838104457453732,1,0.5,1,0.000493979200875794
18985,-0.581831563102853,0.562257142928619,3,-0.5,0,0.00396688314040694
18987,0.100829384875682,0.919929067481191,1,0,0.5,0.000119592341307317
18987,2.88101673866711,0.00504330225160545,1,0.5,1,0.0889628568609625
18987,-1.08099631177204,0.282829698657714,3,-0.5,0,0.0135612469401833
18989,-0.629272596452792,0.530898858298215,1,0,0.5,0.00463703305583374
18989,-0.51768124789848,0.606057754095691,1,0.5,1,0.00314295977011492
18989,0.0113510213556734,0.990970629378579,3,-0.5,0,1.51582930008054e-06
18991,0.0841118190611233,0.933170070576865,1,0,0.5,8.32259917492584e-05
18991,-0.589230142908259,0.557307318783941,1,0.5,1,0.00406799746446806
