"sessid","drug","volume","concentration","infusion","infusion_bino","region","dosage","infusion_side","fof_ppc","trialid","lottery_mag","lottery_prob","sb_mag","fixation_time","lottery_poke","surebet_poke","subj_choice","RT_choice","RT_fixation","reward_received","lottery_outcome","trial_in_block","block_number","trial_number","block_length","ex_fixation","ex_choice","ITI","ex_ITI","viol","reward","trialnum","RT","subjid","trialtime","individual","species_name","species","forced","forced_surebet","forced_lottery","is_side_choice","total_rew_multi","delta_ev","prev_reward","choice","prev_choice","prev_outcome_s","prev_outcome","log_RT","lottery_side","pro_right_delta_ev","choose_right"
163745,"muscimol",0.3,1,"infusion",1,"Left PPC",0.3,"L",NA,20484829,8,0.55,3,1,"BotR","BotL","lottery",0.33971,1.18622,64,"win",31,1,31,48,0,1,5.50735,0,0,64,31,0.33971,2152,"2020-08-13 14:18:55.5538",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,11.2,0,1,1,"lottery_lose",-1,-0.586859527908228,"BotR",11.2,1
163745,"muscimol",0.3,1,"infusion",1,"Left PPC",0.3,"L",NA,20484837,2,0.55,3,1,"BotR","BotL","surebet",0.679386,0.632347,24,"lose",32,1,32,48,0,1,3.17034,0,0,24,32,0.679386,2152,"2020-08-13 14:19:06.8494",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,-15.2,64,0,1,"lottery_win",1,0.106237608716075,"BotR",-15.2,0
163745,"muscimol",0.3,1,"infusion",1,"Left PPC",0.3,"L",NA,20484845,2,0.55,3,1,"BotR","BotL","surebet",0.506554,0.245341,24,"win",33,1,33,48,0,0,4.08563,0,0,24,33,0.506554,2152,"2020-08-13 14:19:18.4443",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,-15.2,24,0,0,"surebet",0,-0.18732090835703,"BotR",-15.2,0
163745,"muscimol",0.3,1,"infusion",1,"Left PPC",0.3,"L",NA,20484855,32,0.55,3,1,"BotR","BotL","lottery",0.854728,0.162143,256,"win",34,1,34,48,0,1,7.87755,0,0,256,34,0.854728,2152,"2020-08-13 14:19:39.1865",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,116.8,24,1,0,"surebet",0,0.335831449287468,"BotR",116.8,1
163745,"muscimol",0.3,1,"infusion",1,"Left PPC",0.3,"L",NA,20484883,32,0.55,3,1,"BotR","BotL","lottery",0.631254,0.194936,256,"win",37,1,37,48,0,2,6.98028,0,0,256,37,0.631254,2152,"2020-08-13 14:20:38.3980",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,116.8,24,1,0,"surebet",0,0.0327564768224905,"BotR",116.8,1
163745,"muscimol",0.3,1,"infusion",1,"Left PPC",0.3,"L",NA,20484899,4,0.55,3,1,"BotR","BotL","surebet",0.546631,0.416086,24,"lose",39,1,39,48,0,1,5.10696,0,0,24,39,0.546631,2152,"2020-08-13 14:21:13.4905",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,-6.4,24,0,0,"surebet",0,-0.111177854261447,"BotR",-6.4,0
163745,"muscimol",0.3,1,"infusion",1,"Left PPC",0.3,"L",NA,20484901,16,0.55,3,1,"BotR","BotL","lottery",0.332514,0.263405,128,"win",40,1,40,48,0,0,4.21499,0,0,128,40,0.332514,2152,"2020-08-13 14:21:24.9851",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,46.4,24,1,0,"surebet",0,-0.608269875908001,"BotR",46.4,1
163745,"muscimol",0.3,1,"infusion",1,"Left PPC",0.3,"L",NA,20484917,0,0.55,3,1,"BotR","BotL","surebet",0.694018,0.229188,24,"win",42,1,42,48,0,0,4.28618,0,0,24,42,0.694018,2152,"2020-08-13 14:21:52.3914",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,-24,24,0,0,"surebet",0,0.127546056389214,"BotR",-24,0
163745,"muscimol",0.3,1,"infusion",1,"Left PPC",0.3,"L",NA,20484963,2,0.55,3,1,"BotR","BotL","surebet",0.371242,0.417083,24,"win",44,1,44,48,0,1,5.95175,0,0,24,44,0.371242,2152,"2020-08-13 14:22:57.4006",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,-15.2,0,0,1,"lottery_lose",-1,-0.498097699317485,"BotR",-15.2,0
163745,"muscimol",0.3,1,"infusion",1,"Left PPC",0.3,"L",NA,20484979,32,0.55,3,1,"BotR","BotL","lottery",0.29078,0.218447,0,"lose",45,1,45,48,0,1,6.33301,0,0,0,45,0.29078,2152,"2020-08-13 14:23:10.5178",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,116.8,24,1,0,"surebet",0,-0.742384872877387,"BotR",116.8,1
163745,"muscimol",0.3,1,"infusion",1,"Left PPC",0.3,"L",NA,20485011,2,0.55,3,1,"BotR","BotL","surebet",0.423885,0.193035,24,"win",48,1,48,48,0,1,4.47735,0,0,24,48,0.423885,2152,"2020-08-13 14:23:48.5252",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,-15.2,0,0,1,"lottery_lose",-1,-0.365489648352339,"BotR",-15.2,0
163745,"muscimol",0.3,1,"infusion",1,"Left PPC",0.3,"L",NA,20485039,4,0.55,3,1,"BotR","BotL","surebet",0.956836,2.00345,24,"win",2,2,50,48,0,1,6.90216,0,0,24,50,0.956836,2152,"2020-08-13 14:24:18.5724",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,-6.4,128,0,1,"lottery_win",1,0.448680167525943,"BotR",-6.4,0
