n,Pearson,Spearman
2048,0.8585446106570422,0.9794269306578678
2048,0.8713645979645812,0.9699890471034197
2048,0.8972081304529649,0.9715385503735531
2048,0.8828344724748212,0.9702707749707167
2048,0.8940318812921013,0.9736515093782802
2048,0.8742599298732825,0.975060148714765
2048,0.8509219375438541,0.9677352241650441
2048,0.8526552201069612,0.9794269306578678
2048,0.8580406392412334,0.9801312503261101
2048,0.8615253917973545,0.9649179454920745
2048,0.849796164325568,0.9664674487622078
2048,0.8145480196740622,0.9582973406105961
2048,0.8649423306173576,0.9770322437858436
2048,0.8805670787497407,0.9795677945915163
2048,0.9043098223318986,0.9771731077194921
2048,0.90370458057779,0.9698481831697713
2048,0.8739615303667471,0.9801312503261101
2048,0.8674506514100391,0.9698481831697713
2048,0.8678787986411449,0.9560435176722204
2048,0.9066083682726467,0.9694255913688258
2048,0.8618217377648476,0.9743558290465226
2048,0.9024725968344153,0.9711159585726077
2048,0.8296830839689501,0.9561843816058688
2048,0.8444518461001962,0.9739332372455771
2048,0.8164677140177224,0.9525219193310085
2048,0.8454785369018408,0.9636501700892383
512,0.7079598938639681,0.8712434296158367
512,0.873289616031778,0.9437883554448029
512,0.8062210919280915,0.9392807095680515
512,0.8786651692028228,0.949141184923445
512,0.845971258347305,0.9412528046391302
512,0.8153817848443257,0.9543531504684387
512,0.7219386956746959,0.9120939703738953
512,0.813616552937114,0.9475916816533118
512,0.8467585108629769,0.9358999751604881
512,0.8353394817756845,0.7998254152560583
512,0.7992909231161485,0.9254760440705008
512,0.8423307805876098,0.8623690017959825
512,0.8342504248361382,0.9501272324589843
512,0.8415921349092574,0.9263212276723916
512,0.6139565671777375,0.7943317218437677
512,0.8564095699813913,0.946183042316827
512,0.8339477224164756,0.9220953096629372
512,0.8564773577510704,0.9437883554448029
512,0.7690152751944189,0.9140660654449739
512,0.749069671818551,0.8788500820328545
512,0.813606337747946,0.930265417814549
512,0.7860348906848426,0.9002613999474232
512,0.7610167364883453,0.9106853310374106
512,0.836723700821836,0.9442109472457483
512,0.7874990746828112,0.9030786786203926
512,0.8639594073888365,0.8996979442128292
512,0.7565800594564098,0.917305935918889
512,0.820562172515745,0.8889922852555449
512,0.791530368612956,0.9392807095680515
512,0.7897589553166844,0.9188554391890222
512,0.881313174905848,0.9304062817481975
512,0.7865540540409041,0.9191371670563192
512,0.7942455627867999,0.9182919834544283
512,0.6956176185459763,0.8649045526016552
512,0.8062440736205303,0.9181511195207799
512,0.8329957260693264,0.9360408390941365
512,0.7917942562928743,0.8246174675781904
512,0.7923839201395634,0.9037829982886352
512,0.8268808578435478,0.9594242520797839
512,0.861090739112697,0.8842029115114967
512,0.8741428796745615,0.8637776411324674
512,0.8146435616473313,0.9382946620325122
512,0.8290328225322487,0.9373086144969729
512,0.6830170885301623,0.757002779426921
512,0.7818073258293249,0.9430840357765604
512,0.8348994259026906,0.9525219193310085
512,0.7679507874275603,0.9135026097103801
512,0.8424991593515764,0.8918095639285145
512,0.8848235661251131,0.9370268866296759
512,0.8008902001925117,0.8708208378148913
128,0.5537943366670915,0.6975581994272633
128,0.6490692226944081,0.83391448719899
128,0.6217116464562122,0.7468605762042305
128,0.6502355634512295,0.8058825644029428
128,0.7504591590869574,0.8322241199952083
128,0.8430060330185565,0.8706799738812427
128,0.658942501476245,0.855748396914504
128,0.5789518636796995,0.7785549612751381
128,0.5855481247221389,0.7224911156830439
