"","trialid","lottery_mag","lottery_prob","sb_mag","fixation_time","lottery_poke","surebet_poke","subj_choice","RT_choice","RT_fixation","reward_received","lottery_outcome","trial_in_block","block_number","trial_number","block_length","ex_fixation","ex_choice","ITI","ex_ITI","viol","reward","trialnum","RT","sessid","subjid","trialtime","infusion_sessid","region","volume","concentration","drug","cntrl"
"33",23824463,32,0.5,3,1,"BotR","BotL","lottery",0.430579990148544,18.9782657623291,384,"win",33,1,33,72,0,0,6.83192729949951,0,0,384,33,0.430579990148544,194285,2155,2021-01-06 07:00:01,194441,"Right FOF + Right PPC",0.45,2,"muscimol",1
"34",23824489,0,0.5,3,1,NA,NA,"right",1.3863650560379,9.5492467880249,72,"win",34,1,34,72,0,1,5.96663045883179,0,0,72,34,1.3863650560379,194285,2155,2021-01-06 07:00:25,194441,"Right FOF + Right PPC",0.45,2,"muscimol",1
"35",23824505,0,0.5,3,1,"BotR","BotL","surebet",0.405185014009476,1.80079996585846,36,"lose",35,1,35,72,0,0,8.41273975372314,1,0,36,35,0.405185014009476,194285,2155,2021-01-06 07:00:40,194441,"Right FOF + Right PPC",0.45,2,"muscimol",1
"36",23824523,16,0.5,3,1,"BotR",NA,"lottery",1.67718899250031,5.75962591171265,192,"win",36,1,36,72,0,2,5.88578653335571,0,0,192,36,1.67718899250031,194285,2155,2021-01-06 07:01:00,194441,"Right FOF + Right PPC",0.45,2,"muscimol",1
"37",23824539,2,0.5,3,1,NA,NA,"right",1.338623046875,0.736486971378326,72,"lose",37,1,37,72,0,1,8.66395664215088,0,0,72,37,1.338623046875,194285,2155,2021-01-06 07:01:17,194441,"Right FOF + Right PPC",0.45,2,"muscimol",1
"38",23824553,2,0.5,3,1,"BotR","BotL","surebet",0.373885005712509,0.484468013048172,36,"lose",38,1,38,72,0,0,7.19648838043213,0,0,36,38,0.373885005712509,194285,2155,2021-01-06 07:01:29,194441,"Right FOF + Right PPC",0.45,2,"muscimol",1
"39",23824575,8,0.5,3,1,NA,"BotL","surebet",0.439657002687454,6.07112693786621,36,"win",39,1,39,72,0,0,8.56228446960449,0,0,36,39,0.439657002687454,194285,2155,2021-01-06 07:01:50,194441,"Right FOF + Right PPC",0.45,2,"muscimol",1
"40",23824595,8,0.5,3,1,NA,NA,"right",2.94052004814148,0.775390982627869,72,"lose",40,1,40,72,0,2,8.26025104522705,0,0,72,40,2.94052004814148,194285,2155,2021-01-06 07:02:08,194441,"Right FOF + Right PPC",0.45,2,"muscimol",1
"41",23824893,0,0.5,3,1,"BotR","BotL","violation",NA,300.000061035156,0,"lose",41,1,41,72,0,NA,5.97007703781128,0,1,0,41,NA,194285,2155,2021-01-06 07:07:18,194441,"Right FOF + Right PPC",0.45,2,"muscimol",1
"42",23824909,0,0.5,3,1,"BotR","BotL","surebet",0.479398995637894,1.59337103366852,36,"lose",41,1,42,72,0,0,5.0958423614502,0,0,36,42,0.479398995637894,194285,2155,2021-01-06 07:07:30,194441,"Right FOF + Right PPC",0.45,2,"muscimol",1
"43",23824925,32,0.5,3,1,"BotR","BotL","lottery",0.546472012996674,0.627035021781921,384,"win",42,1,43,72,0,0,8.36477947235107,0,0,384,43,0.546472012996674,194285,2155,2021-01-06 07:07:47,194441,"Right FOF + Right PPC",0.45,2,"muscimol",1
"44",23824945,8,0.5,3,1,NA,NA,"right",2.40344095230103,9.4926700592041,72,"win",43,1,44,72,0,1,5.11065626144409,0,0,72,44,2.40344095230103,194285,2155,2021-01-06 07:08:09,194441,"Right FOF + Right PPC",0.45,2,"muscimol",1
"45",23824961,16,0.5,3,1,NA,"BotL","surebet",0.475086987018585,0.672177016735077,36,"lose",44,1,45,72,0,0,8.86034965515137,0,0,36,45,0.475086987018585,194285,2155,2021-01-06 07:08:24,194441,"Right FOF + Right PPC",0.45,2,"muscimol",1
"46",23824979,2,0.5,3,1,"BotR","BotL","surebet",0.621273994445801,0.535773992538452,36,"lose",45,1,46,72,0,0,8.89996337890625,0,0,36,46,0.621273994445801,194285,2155,2021-01-06 07:08:38,194441,"Right FOF + Right PPC",0.45,2,"muscimol",1
"47",23825011,32,0.5,3,1,"BotR","BotL","lottery",1.24680697917938,9.82929229736328,384,"win",46,1,47,72,0,0,5.33422422409058,0,0,384,47,1.24680697917938,194285,2155,2021-01-06 07:09:02,194441,"Right FOF + Right PPC",0.45,2,"muscimol",1
"48",23825031,2,0.5,3,1,NA,NA,"right",1.18370401859283,4.98596477508545,72,"win",47,1,48,72,0,1,7.74796962738037,0,0,72,48,1.18370401859283,194285,2155,2021-01-06 07:09:22,194441,"Right FOF + Right PPC",0.45,2,"muscimol",1
"49",23825047,8,0.5,3,1,"BotR","BotL","surebet",0.529426991939545,0.708696007728577,36,"win",48,1,49,72,0,1,7.13512802124023,1,0,36,49,0.529426991939545,194285,2155,2021-01-06 07:09:35,194441,"Right FOF + Right PPC",0.45,2,"muscimol",1
"50",23825067,0,0.5,3,1,NA,NA,"right",3.24043393135071,0.707497000694275,72,"win",49,1,50,72,0,2,8.60201835632324,0,0,72,50,3.24043393135071,194285,2155,2021-01-06 07:09:52,194441,"Right FOF + Right PPC",0.45,2,"muscimol",1
"51",23825095,32,0.5,3,1,"BotR","BotL","lottery",0.901255011558533,12.3750915527344,384,"win",50,1,51,72,0,0,8.58854389190674,0,0,384,51,0.901255011558533,194285,2155,2021-01-06 07:10:22,194441,"Right FOF + Right PPC",0.45,2,"muscimol",1
"52",23825109,0,0.5,3,1,"BotR",NA,"lottery",2.51609802246094,1.29750001430511,0,"win",51,1,52,72,0,1,8.2274227142334,0,0,0,52,2.51609802246094,194285,2155,2021-01-06 07:10:38,194441,"Right FOF + Right PPC",0.45,2,"muscimol",1
"53",23825121,32,0.5,3,1,NA,NA,"right",1.51031899452209,0.657655000686646,72,"win",52,1,53,72,0,0,5.41638326644897,0,0,72,53,1.51031899452209,194285,2155,2021-01-06 07:10:53,194441,"Right FOF + Right PPC",0.45,2,"muscimol",1
"54",23825125,4,0.5,3,1,"BotR",NA,"lottery",1.77322196960449,4.50884008407593,0,"lose",53,1,54,72,0,1,5.17106103897095,0,0,0,54,1.77322196960449,194285,2155,2021-01-06 07:11:11,194441,"Right FOF + Right PPC",0.45,2,"muscimol",1
"55",23825161,16,0.5,3,1,NA,NA,"right",2.38598394393921,42.9980888366699,72,"lose",54,1,55,72,0,2,6.82702255249023,0,0,72,55,2.38598394393921,194285,2155,2021-01-06 07:12:10,194441,"Right FOF + Right PPC",0.45,2,"muscimol",1
"56",23825379,0,0.5,3,1,"BotR","BotL","violation",NA,300.000061035156,0,"win",55,1,56,72,0,NA,7.20173501968384,0,1,0,56,NA,194285,2155,2021-01-06 07:17:20,194441,"Right FOF + Right PPC",0.45,2,"muscimol",1
"57",23825617,0,0.5,3,1,"BotR","BotL","violation",NA,300.000061035156,0,"lose",55,1,57,72,0,NA,8.16233158111572,0,1,0,57,NA,194285,2155,2021-01-06 07:22:32,194441,"Right FOF + Right PPC",0.45,2,"muscimol",1
"58",23825813,0,0.5,3,1,"BotR","BotL","violation",NA,300.000061035156,0,"win",55,1,58,72,0,NA,8.9070930480957,0,1,0,58,NA,194285,2155,2021-01-06 07:27:44,194441,"Right FOF + Right PPC",0.45,2,"muscimol",1
"59",23826021,0,0.5,3,1,"BotR","BotL","violation",NA,300.000061035156,0,"lose",55,1,59,72,0,NA,5.26141357421875,0,1,0,59,NA,194285,2155,2021-01-06 07:32:53,194441,"Right FOF + Right PPC",0.45,2,"muscimol",1
"60",23826105,0,0.5,3,1,"BotR","BotL","lottery",1.32211697101593,88.9241943359375,0,"lose",55,1,60,72,0,1,6.83746194839478,0,0,0,60,1.32211697101593,194285,2155,2021-01-06 07:34:37,194441,"Right FOF + Right PPC",0.45,2,"muscimol",1
"61",23826183,4,0.5,3,1,"BotR","BotL","lottery",6.18732118606567,121.366363525391,0,"lose",56,1,61,72,0,5,7.80725908279419,0,0,0,61,6.18732118606567,194285,2155,2021-01-06 07:36:58,194441,"Right FOF + Right PPC",0.45,2,"muscimol",1
"62",23826203,2,0.5,3,1,"BotR","BotL","lottery",2.07437205314636,19.7932109832764,0,"lose",57,1,62,72,0,2,7.62132930755615,0,0,0,62,2.07437205314636,194285,2155,2021-01-06 07:37:36,194441,"Right FOF + Right PPC",0.45,2,"muscimol",1
"63",23826307,0,0.5,3,1,"BotR","BotL","violation",NA,300.000061035156,0,"win",58,1,63,72,0,NA,7.94899606704712,0,1,0,63,NA,194285,2155,2021-01-06 07:42:47,194441,"Right FOF + Right PPC",0.45,2,"muscimol",1
"64",23993239,8,0.5,3,1,NA,"BotL","surebet",0.34799399971962,17.3321170806885,36,"win",1,1,1,60,1,1,1,0,0,36,1,0.34799399971962,195697,2155,2021-01-13 06:03:14,195911,"Right FOF+Right PPC",0.45,2,"Muscimol",1
"65",23993259,32,0.5,3,1,NA,NA,"right",3.56966590881348,4.65142583847046,72,"lose",2,1,2,60,0,3,6.67228984832764,0,0,72,2,3.56966590881348,195697,2155,2021-01-13 06:03:34,195911,"Right FOF+Right PPC",0.45,2,"Muscimol",1
"66",23993287,16,0.5,3,1,NA,"BotL","surebet",0.4497210085392,13.8819122314453,36,"win",3,1,3,60,0,1,8.58500099182129,0,0,36,3,0.4497210085392,195697,2155,2021-01-13 06:04:03,195911,"Right FOF+Right PPC",0.45,2,"Muscimol",1
"67",23993301,32,0.5,3,1,NA,"BotL","surebet",0.472061991691589,5.31399011611938,36,"win",4,1,4,60,1,1,7.70850038528442,0,0,36,4,0.472061991691589,195697,2155,2021-01-13 06:04:21,195911,"Right FOF+Right PPC",0.45,2,"Muscimol",1
"68",23993325,2,0.5,3,1,NA,"BotL","surebet",0.364553987979889,2.06782698631287,36,"lose",5,1,5,60,0,1,6.55227565765381,0,0,36,5,0.364553987979889,195697,2155,2021-01-13 06:04:34,195911,"Right FOF+Right PPC",0.45,2,"Muscimol",1
"69",23993345,16,0.5,3,1,NA,"BotL","surebet",0.479429990053177,11.1838359832764,36,"lose",6,1,6,60,0,1,6.33851003646851,0,0,36,6,0.479429990053177,195697,2155,2021-01-13 06:04:57,195911,"Right FOF+Right PPC",0.45,2,"Muscimol",1
"70",23993359,8,0.5,3,1,"BotR","BotL","surebet",0.354065001010895,1.55318605899811,36,"lose",7,1,7,60,0,1,8.43730068206787,0,0,36,7,0.354065001010895,195697,2155,2021-01-13 06:05:12,195911,"Right FOF+Right PPC",0.45,2,"Muscimol",1
"71",23993377,2,0.5,3,1,"BotR","BotL","lottery",2.19204092025757,3.15429902076721,0,"lose",8,1,8,60,0,1,8.90243816375732,0,0,0,8,2.19204092025757,195697,2155,2021-01-13 06:05:33,195911,"Right FOF+Right PPC",0.45,2,"Muscimol",1
"72",23993389,8,0.5,3,1,NA,"BotL","surebet",0.39291700720787,0.444314002990723,36,"lose",9,1,9,60,0,1,6.30654191970825,0,0,36,9,0.39291700720787,195697,2155,2021-01-13 06:05:44,195911,"Right FOF+Right PPC",0.45,2,"Muscimol",1
"73",23993401,32,0.5,3,1,"BotR","BotL","lottery",0.358103007078171,1.05344200134277,384,"win",10,1,10,60,0,1,6.05286264419556,0,0,384,10,0.358103007078171,195697,2155,2021-01-13 06:05:59,195911,"Right FOF+Right PPC",0.45,2,"Muscimol",1
"74",23993429,32,0.5,3,1,NA,NA,"right",2.20279598236084,19.1947593688965,72,"lose",11,1,11,60,3,3,6.01499843597412,0,0,72,11,2.20279598236084,195697,2155,2021-01-13 06:06:33,195911,"Right FOF+Right PPC",0.45,2,"Muscimol",1
"75",23993449,0,0.5,3,1,NA,"BotL","surebet",0.287034004926682,0.563740015029907,36,"win",12,1,12,60,0,1,7.49652624130249,0,0,36,12,0.287034004926682,195697,2155,2021-01-13 06:06:46,195911,"Right FOF+Right PPC",0.45,2,"Muscimol",1
"76",23993467,16,0.5,3,1,NA,NA,"right",2.04059791564941,0.596679985523224,72,"win",13,1,13,60,0,4,5.50319385528564,0,0,72,13,2.04059791564941,195697,2155,2021-01-13 06:07:00,195911,"Right FOF+Right PPC",0.45,2,"Muscimol",1
"77",23993495,4,0.5,3,1,NA,NA,"right",2.64762496948242,0.402137011289597,72,"win",14,1,14,60,0,3,7.15309047698975,0,0,72,14,2.64762496948242,195697,2155,2021-01-13 06:07:15,195911,"Right FOF+Right PPC",0.45,2,"Muscimol",1
"78",23993527,32,0.5,3,1,"BotR",NA,"lottery",0.419425994157791,4.03142976760864,384,"win",15,1,15,60,0,0,5.4948673248291,0,0,384,15,0.419425994157791,195697,2155,2021-01-13 06:07:33,195911,"Right FOF+Right PPC",0.45,2,"Muscimol",1
"79",23993553,2,0.5,3,1,NA,"BotL","surebet",0.355087995529175,2.83983993530273,36,"win",16,1,16,60,0,1,5.64475679397583,0,0,36,16,0.355087995529175,195697,2155,2021-01-13 06:07:49,195911,"Right FOF+Right PPC",0.45,2,"Muscimol",1
"80",23993581,8,0.5,3,1,NA,NA,"right",2.41362595558167,0.863964021205902,72,"win",17,1,17,60,0,2,6.00391387939453,0,0,72,17,2.41362595558167,195697,2155,2021-01-13 06:08:04,195911,"Right FOF+Right PPC",0.45,2,"Muscimol",1
"81",23993597,2,0.5,3,1,"BotR","BotL","surebet",0.422376990318298,0.741015017032623,36,"lose",18,1,18,60,0,1,5.40711402893066,0,0,36,18,0.422376990318298,195697,2155,2021-01-13 06:08:15,195911,"Right FOF+Right PPC",0.45,2,"Muscimol",1
"82",23993619,4,0.5,3,1,"BotR","BotL","surebet",0.291586011648178,0.853649973869324,36,"lose",19,1,19,60,0,1,7.20304775238037,0,0,36,19,0.291586011648178,195697,2155,2021-01-13 06:08:28,195911,"Right FOF+Right PPC",0.45,2,"Muscimol",1
"83",23993635,8,0.5,3,1,"BotR","BotL","surebet",0.521018981933594,0.652765989303589,36,"lose",20,1,20,60,0,1,8.97144985198975,0,0,36,20,0.521018981933594,195697,2155,2021-01-13 06:08:42,195911,"Right FOF+Right PPC",0.45,2,"Muscimol",1
"84",23993651,4,0.5,3,1,"BotR","BotL","surebet",0.604910016059875,0.432958006858826,36,"win",21,1,21,60,0,0,5.75875854492188,0,0,36,21,0.604910016059875,195697,2155,2021-01-13 06:08:53,195911,"Right FOF+Right PPC",0.45,2,"Muscimol",1
"85",23993671,16,0.5,3,1,"BotR",NA,"lottery",0.367523998022079,0.420051008462906,192,"win",22,1,22,60,0,0,6.55339527130127,0,0,192,22,0.367523998022079,195697,2155,2021-01-13 06:09:07,195911,"Right FOF+Right PPC",0.45,2,"Muscimol",1
"86",23993689,32,0.5,3,1,"BotR","BotL","lottery",0.436444014310837,0.586920022964478,384,"win",23,1,23,60,0,0,6.81467771530151,0,0,384,23,0.436444014310837,195697,2155,2021-01-13 06:09:22,195911,"Right FOF+Right PPC",0.45,2,"Muscimol",1
"87",23993719,2,0.5,3,1,"BotR",NA,"lottery",2.60120105743408,6.33959722518921,24,"win",24,1,24,60,0,3,5.81197357177734,0,0,24,24,2.60120105743408,195697,2155,2021-01-13 06:09:42,195911,"Right FOF+Right PPC",0.45,2,"Muscimol",1
"88",23993739,16,0.5,3,1,"BotR","BotL","surebet",0.500669002532959,3.33723402023315,36,"lose",25,1,25,60,0,0,5.03195190429688,0,0,36,25,0.500669002532959,195697,2155,2021-01-13 06:09:55,195911,"Right FOF+Right PPC",0.45,2,"Muscimol",1
"89",23993769,2,0.5,3,1,NA,NA,"right",2.11410593986511,0.388502985239029,72,"win",26,1,26,60,0,2,7.5701961517334,1,0,72,26,2.11410593986511,195697,2155,2021-01-13 06:10:16,195911,"Right FOF+Right PPC",0.45,2,"Muscimol",1
"90",23993789,0,0.5,3,1,"BotR","BotL","surebet",0.476280987262726,0.515931010246277,36,"win",27,1,27,60,0,0,7.56989097595215,0,0,36,27,0.476280987262726,195697,2155,2021-01-13 06:10:28,195911,"Right FOF+Right PPC",0.45,2,"Muscimol",1
"91",23993827,32,0.5,3,1,"BotR","BotL","lottery",0.369423002004623,14.4060220718384,384,"win",28,1,28,60,0,0,5.66570854187012,0,0,384,28,0.369423002004623,195697,2155,2021-01-13 06:10:55,195911,"Right FOF+Right PPC",0.45,2,"Muscimol",1
"92",23993865,0,0.5,3,1,NA,NA,"right",0.917097985744476,9.62173557281494,72,"win",29,1,29,60,0,0,6.80268144607544,0,0,72,29,0.917097985744476,195697,2155,2021-01-13 06:11:18,195911,"Right FOF+Right PPC",0.45,2,"Muscimol",1
"93",23993877,0,0.5,3,1,"BotR","BotL","surebet",0.443266004323959,1.88001501560211,36,"lose",30,1,30,60,0,1,6.17026853561401,0,0,36,30,0.443266004323959,195697,2155,2021-01-13 06:11:31,195911,"Right FOF+Right PPC",0.45,2,"Muscimol",1
"94",23993899,0,0.5,3,1,"BotR","BotL","surebet",0.376500010490417,0.43428099155426,36,"win",31,1,31,60,0,0,5.72416925430298,0,0,36,31,0.376500010490417,195697,2155,2021-01-13 06:11:42,195911,"Right FOF+Right PPC",0.45,2,"Muscimol",1
"95",23993929,32,0.5,3,1,NA,"BotL","surebet",1.54936802387238,16.0547351837158,36,"lose",32,1,32,60,0,2,6.54682874679565,0,0,36,32,1.54936802387238,195697,2155,2021-01-13 06:12:10,195911,"Right FOF+Right PPC",0.45,2,"Muscimol",1
"96",23993945,0,0.5,3,1,"BotR","BotL","surebet",0.512058973312378,0.459908008575439,36,"win",33,1,33,60,0,2,5.88000774383545,0,0,36,33,0.512058973312378,195697,2155,2021-01-13 06:12:21,195911,"Right FOF+Right PPC",0.45,2,"Muscimol",1
"97",23993967,8,0.5,3,1,"BotR","BotL","surebet",0.489717990159988,0.615625023841858,36,"win",34,1,34,60,0,1,7.51733732223511,0,0,36,34,0.489717990159988,195697,2155,2021-01-13 06:12:35,195911,"Right FOF+Right PPC",0.45,2,"Muscimol",1
"98",23993981,0,0.5,3,1,"BotR",NA,"lottery",0.661629021167755,0.387513011693954,0,"lose",35,1,35,60,0,1,7.54430675506592,0,0,0,35,0.661629021167755,195697,2155,2021-01-13 06:12:49,195911,"Right FOF+Right PPC",0.45,2,"Muscimol",1
"99",23994013,2,0.5,3,1,NA,NA,"right",2.4931800365448,22.439868927002,72,"win",36,1,36,60,0,2,8.73763561248779,0,0,72,36,2.4931800365448,195697,2155,2021-01-13 06:13:28,195911,"Right FOF+Right PPC",0.45,2,"Muscimol",1
